address,tx_count,total_in,total_out,final_balance,aliases,fellow_receivers,convergence,incoming_range,outgoing_range,avg_tx,num_reports,type,notes
1aB1nD2mgy2bes19JxsVKwFTAji3P165L,2,302820000,302820000,0,0,1,0,768673764,49277915876,2175375129.2692,0,1,BitcoinHeist
1AbbNM5Wy1vVeh6XQerN4GHLbfPHGEvyfh,51,14670500000,14670500000,0,95,25,3.8,9899990000,213281536920,1457047046.8797,0,1,BitcoinHeist
1ABHoutRx1d5zBx4r4xistD6bA6omLTS9h,2,50000000,50000000,0,19,1,19,398999992,7998274992,388547400.64,0,1,BitcoinHeist
1AbJGtJz4ezHuNcjGP3EiMdtuJAqt7FVwg,43,165116880,165116880,0,57,20,2.85,15899989976,68048092275,1297752070.9279,0,1,BitcoinHeist
1AbNpnkc6MzucRUoZKezqmQCUpxF8pvbEG,2,100000000,100000000,0,0,1,0,3592953244,3492950359,1517171974.6,0,1,BitcoinHeist
1Abou8Doqr8MUe2mwqZMYtZTnWyPFzSijN,2,30000000,30000000,0,0,1,0,1907709320,1877747785,787050723,0,1,BitcoinHeist
1AbwRPWWYNUB6Xk9T4zx9oKF6pzb8h1d2a,2,40000000,40000000,0,0,1,0,3565366627,3525440147,1458104826.8,0,1,BitcoinHeist
1ABX1EVQx73PmFzwzhxhdvn8AuLQG3r77t,2,80000000,80000000,0,0,1,0,14980000,65070000,69979065.6,0,1,BitcoinHeist
1Ac2U1FnQ1F7LEpaBW1bRKCVHowi36UaLv,4,1178926982,1178926982,0,19,2,9.5,3060057456,3338992031,544558897.1875,0,1,BitcoinHeist
1Ac5qSvXLhsZeWLMADfUpnx1Pzo5MmLLj4,2,100000000,100000000,0,0,1,0,481561658,381555895,272615871.8,0,1,BitcoinHeist
1AC5pUyTwxK45njLytRSA1mgLyYY8xkkET,2,100000000,100000000,0,0,1,0,6009147157,5909141729,2483650048.4,0,1,BitcoinHeist
1AC8asuzgvfJe5FD39oBHF3wzaouCcJdn2,672,555762152,555762152,0,196,421,0.4656,4999999600,30064052137,154322337.6793,0,1,BitcoinHeist
1AC8ZLD2baBVD8BJ8XFfq6dM4FzT6W7FG3,2,80000000,80000000,0,0,1,0,270803660,190765103,172309175.4,0,1,BitcoinHeist
1ACaDY6gaYQM3Tt3oU4XZYncpxjQgEV158,2,40000000,40000000,0,0,2,0,226524840,77627499,102140548.1667,0,1,BitcoinHeist
1AcAmzDrGemXMLBiMUTL1peiLV6eoKkg2k,2,178957000,178957000,0,0,0,0,426420666,21813946419,655303760.6389,0,1,BitcoinHeist
1AcbGS7bRkyyPtDVkCZKXnkYoe8Xm2VwmE,2,80000000,80000000,0,0,1,0,4920000000,4840008116,2031983822.4,0,1,BitcoinHeist
1AcdKykk2BCuHgmKWLoybzEcTaDFd66sgQ,8,381080000,381080000,0,23,3,7.6667,2378850000,24315558096,530022270.4595,0,1,BitcoinHeist
1AcF8ACPnsB6eR7yoyGLXxAcGJ7xsMNQn4,10,1009000000,1009000000,0,61,38,1.6053,9228471907,9461224674,765221449.672,0,1,BitcoinHeist
1AcGF9rBDfxn9qBcXT4pYRBX5ThoA1VnEC,2,179050000,179050000,0,0,1,0,36189513260,35831529169,3709683732.125,0,1,BitcoinHeist
1AcHmWFNHCcZEBUxLs3ERh1XnPemKjJGzG,2,313000000,313000000,0,0,2,0,768703732,49277945844,2020815454.25,0,1,BitcoinHeist
1AcmReaAfx6bANeVhpdnrG96NKfya9pdUn,54,105992550001,105992550001,0,94,23,4.087,78601415259,399999999999,4511497405.9277,0,1,BitcoinHeist
1ACp1PtGzwxSyxK8dnnNzfPqk7JjFym1mx,2,222000000,222000000,0,0,1,0,5595688718,17730123120,1028814580.9167,0,1,BitcoinHeist
1ACPyNHoaaVKkFAjraJAc8rBai45yfCTHU,2,60000000,60000000,0,0,1,0,339000000,9998999897,431242035.8214,0,1,BitcoinHeist
1AcRgp6wCEbVnA3j1iTidGkvBR4Cs2Sd3g,2,100000000,100000000,0,0,1,0,88263310,90208190,69928553,0,1,BitcoinHeist
1ACTjaHY6NmUyHtKL189pzdVNgfF3CqV5U,2,67980000,67980000,0,0,1,0,75370000,7335637,84516708.2,0,1,BitcoinHeist
1AcuJQ5c3hPg46phjxwM9WbbPEaf2x8Dsv,2,80000000,80000000,0,0,1,0,77291130,76309841,54566815.5,0,1,BitcoinHeist
1Acw2eTpJEdYXpXBaEnqtn74u73m81CVLF,2,499988700,499988700,0,1,1,1,500011300,800030000,685706771.4286,0,1,BitcoinHeist
1ACWU7S35JKet3Nn5DQm6CgrnXeXwxgbQy,2,100000000,100000000,0,0,1,0,89844510,10180350,115929134.4,0,1,BitcoinHeist
1ACxCvCd7ieAm1zTnoeWdkbUzU8DaCjwBa,38,1169710639,1169710639,0,76,19,4,4999903334,78800499028,964772719.9865,0,1,BitcoinHeist
1AcYUk1hQziQwMJDGHEMaRTAjjpqGCS9c,26,451547820,451547820,0,57,16,3.5625,25319962549,66187413882,1373396398.0155,0,1,BitcoinHeist
1AD95kMJioEyeKFi2v49CEkEf4XwBt75qj,101,18347346077,18347346077,0,57,64,0.8906,19499990000,128751091555,1127590420.47,0,1,BitcoinHeist
1AdbhDHUo6LaEirHXsbcKg9BsiuKFPo6Uu,2,33746000,33746000,0,0,1,0,606150607,12679219561,734634343.56,0,1,BitcoinHeist
1ADEh9XUaMegTkZnU1Y1WLqcGHg6Ng6CTQ,2,50000000,50000000,0,0,1,0,450890000,9658493341,474182890.36,0,1,BitcoinHeist
1AdeHsocAtHwk47rc4xP4L7bGGXtpTMEY9,2,199990000,199990000,0,0,0,0,989999999,19991743512,1033635638.0417,0,1,BitcoinHeist
1AdEixaywnPzwrTJiUgQ6CBSzWvf7HRz8x,2,80000000,80000000,0,0,1,0,5221190000,5141189429,2152464861,0,1,BitcoinHeist
1AdkCmGUJ3rfiGhSfNbseQnY7Aq5EgvT11,114,3169431000,3169431000,0,57,72,0.7917,10690535216,167259083575,1085211869.3703,0,1,BitcoinHeist
1Ae71q78xKdrQnGtN7fTuTrtt1s75aTJFY,11,391200000,391200000,0,57,6,9.5,3098788859,35247669036,1074429908.622,0,1,BitcoinHeist
1AE4cq4wH7LL2A3TUr2a249LUmiiSgJNJn,4,160000000,160000000,0,0,2,0,794080966,730319639,203012408.6364,0,1,BitcoinHeist
1AE7xTYSfxZNt1k98oJyNnPGJFZiEeoqpD,2,80000000,80000000,0,0,6,0,724563599,139513141,92574014.4737,0,1,BitcoinHeist
1AEAd8CbGr4xzY6d6A6He4vAVvpD2Pbe2F,30,25500000000,25500000000,0,57,16,3.5625,44662427703,91257460964,2151201160.25,0,1,BitcoinHeist
1Aec6sdvai5MwyE4RQL8VLwX55cYzgEmYc,90,294379089,294379088,1,38,66,0.5758,6557693909,61721023521,896761494.6024,0,1,BitcoinHeist
1AEEqcdNx79egaqUDVgsfUVyrqDc5M7DLK,2,80000000,80000000,0,0,2,0,43693580,60716016,67877294,0,1,BitcoinHeist
1AEGDQuuue4a4ReHR2XMAuBi36QM6WDCT3,40,1040827000,1040827000,0,38,20,1.9,9799946523,52233170571,1003506663.0735,0,1,BitcoinHeist
1AeGGXj6j7F97eKHnS11MS2F7m3D28V98X,2,176000000,176000000,0,19,1,19,331536809,4004989770,282964464.931,0,1,BitcoinHeist
1AeGpBMKVMGs5DmRzJvvca3DAmfMjzcYV5,2,75000000,75000000,0,0,2,0,256000000,71018427,135309785.8333,0,1,BitcoinHeist
1AEhRR23Pg2tzWFPSjxNW52T2DDnbRpMGT,2,200000000,200000000,0,0,2,0,989999999,19999050000,886113046.8929,0,1,BitcoinHeist
1AeKrQqbbjeYkGbBC8TxTM97LGNpXRNQVB,2,50000000,50000000,0,19,1,19,1998100000,15617974384,796793842.8333,0,1,BitcoinHeist
1AEoiHY23fbBn8QiJ5y6oAjrhRY1Fb85uc,224,533798289731,533798288731,1000,137,27,5.0741,49999999600,64174389000,1234374351.2776,0,1,BitcoinHeist
1AEPz3qt5Jc1Hsopbi6aL63T4RY3ESep1q,2,100000000,100000000,0,0,1,0,4644830683,4544804279,1937921282,0,1,BitcoinHeist
1AEqqUe98Gny3S4EwsFJXgCPXRfymcK7ms,6,103304133,103304133,0,0,3,0,2249572754,32448350196,1182809326.7467,0,1,BitcoinHeist
1AeTAP7Z4QbevbHQ9wF5pUdYG9mTsjvrmx,11,180000000,180000000,0,26,6,4.3333,1279710349,59999760349,813546279.8271,0,1,BitcoinHeist
1AeVEJUo5QyCgjJWX5U7kzwNB3QBopMc1u,2,80000000,80000000,0,0,1,0,17007507642,16927488330,6866990719.2,0,1,BitcoinHeist
1AeZQzYkLXYG1pepgJJu435rymvs2E4K9C,7,1091190000,1091190000,0,0,9,0,4279658584,16829657000,747838310.7471,0,1,BitcoinHeist
1Af6r8xueRAHi4baBavFrJSVPG6DsGeSo2,2,80000000,80000000,0,0,1,0,11052254896,10972238747,4484888916.2,0,1,BitcoinHeist
1Afbj4rhBHepKBrucor51oFByWDzYrtpLm,20,672427400,672427400,0,20,10,2,3476985364,59999974200,1055573790.0915,0,1,BitcoinHeist
1AFeafPGiM4BK1ttfkfZD1hZZneLpeoj9Z,41,427845946,427845946,0,76,21,3.619,35351527422,61608680869,1110259756.4575,0,1,BitcoinHeist
1AFiCbx7HVarBgFBP5xH8BdwNJKTRk3mvr,2,199990000,199990000,0,0,0,0,989999999,19991743512,1033635638.0417,0,1,BitcoinHeist
1AfMdkbdvTiFUSoTwxsKhTgZ9wjvEiSwMs,2,540010400,540010400,0,0,1,0,514007400,26936721854,958818419.1667,0,1,BitcoinHeist
1AfnA4rmUqxU52EqjrPghorbv8X3483sAj,4,936000000,936000000,0,0,31,0,2335105048,49277852018,1036431788.0462,0,1,BitcoinHeist
1AfnpkhYunFmZWb7tw2vwgc3DB99CU9HzM,2,200000000,200000000,0,19,1,19,665761018,3800000000,405478001.5,0,1,BitcoinHeist
1AfQY4xamfH5GUL4c41oZZQPBUBAn2iyh6,2,56000000,56000000,0,0,1,0,42916501,44109998,35405736.5714,0,1,BitcoinHeist
1AFraHS34oAH6Ztyw31v9kMsCjPgjymJ84,2,117100000,117100000,0,0,1,0,1132845760,1015750810,546806446,0,1,BitcoinHeist
1AFVQ4b9w9P4CiAQ8oNsnRcxutqhzYxhwU,80,496080000,496080000,0,133,24,5.5417,29999990000,260201984277,2150641286.6151,0,1,BitcoinHeist
1Ag8uh3n5aQcydpfYGVfRZrxuUyeWNGbsW,14,536980000,536980000,0,19,4,4.75,3355580388,240699066492,2256371013.8256,0,1,BitcoinHeist
1AG1h5rGG29wj6qMQoaBv1hvFLCC1d5WqD,2,80000000,80000000,0,0,1,0,409780000,329767187,227900042.6,0,1,BitcoinHeist
1AG4Ni8oy2c4xysiL4gzMdrUNRjQ1PvGMF,4,20803078831,20803078831,0,19,20,0.95,25708365508,46128821358,1733675802.9857,0,1,BitcoinHeist
1AG6yg8iZmDcGPZ8y9mQSDgZNXTJT9UovK,2,56000000,56000000,0,0,1,0,7205661653,7149666013,2927056557.2,0,1,BitcoinHeist
1AG46URS5UbK1tyASbLoh3PHmprxQAYXah,2,76630000,76630000,0,0,1,0,933730,75706270,61671166.4,0,1,BitcoinHeist
1AgH4ygZ7G2fFnfLPntcCaEfdXryk6CQAT,2,100000000,100000000,0,0,1,0,6885852752,6785823891,2834330601,0,1,BitcoinHeist
1AgkvvVYPsLbvyRaqAVkoFH9UpG6ZSsfDD,43,829534015,829534015,0,104,21,4.9524,1499999600,59999520572,542530720.7057,0,1,BitcoinHeist
1AGrYr84QbxcCdFCfJ5fWQGEURRyVtfSJX,2,80000000,80000000,0,0,1,0,6402826,73633474,66550137.8,0,1,BitcoinHeist
1AGtwp27EbmS6xUe7t4M7ycLSD6DvrqX68,2,1899000000,1899000000,0,0,10,0,1036417210,16367900074,834785779.1154,0,1,BitcoinHeist
1AgVCZ2CYL31u2W2GXny75irJ7zVNjQSdW,2,43990000,43990000,0,0,1,0,20680000,23392325,43436086.6,0,1,BitcoinHeist
1AgygS1d1A2YEowiLzTb9HHTdyxZcFhwbh,2,100000000,100000000,0,19,2,9.5,699999999,6998096248,441331787.3846,0,1,BitcoinHeist
1AHbTU2EbDPmV5CYt9mcmMSPDc1zBxL9Q9,2,80000000,80000000,0,0,8,0,586460000,46940000,124397165.75,0,1,BitcoinHeist
1AhEwfhqevDypYc84bfiFTVc1Z4X6q443Q,2,50000000,50000000,0,0,19,0,49895500,92799983,12875898.381,0,1,BitcoinHeist
1Ahg7avfFGsLiHvgDPH28gNhLpEN9zqi6y,2,200000000,200000000,0,19,1,19,190010000,3990040000,336798800,0,1,BitcoinHeist
1AhhUCUprhStdmXHSV4CJpbvCbD6ehKkzy,72,990562138,990562138,0,57,43,1.3256,19999994490,147714658435,1340912780.6434,0,1,BitcoinHeist
1AHKr7uEemLay1AfSMaMtjMiPBUvUL9EJU,2,200000000,200000000,0,0,6,0,1338902385,17708200573,578650752.4222,0,1,BitcoinHeist
1AhKtU5Uzz8nAbhf8177AGzF2rfzYDKvTu,42,202499859,202499859,0,21,37,0.5676,101111235,147586694,23808968.1097,0,1,BitcoinHeist
1AhS7MWnoz68CgV9cZv8SrUYbYBz5in6fo,2,80000000,80000000,0,0,1,0,9768981714,9688969726,3971578811.2,0,1,BitcoinHeist
1AHSKNk2Kbdy7zSmFhcA1xKezGVcAB5So2,2,49990000,49990000,0,0,0,0,398999992,7998274992,402238542.3333,0,1,BitcoinHeist
1AHUYj6xYU4S4nJag23bexGFZC7qEDRtEL,2,81880000,81880000,0,0,0,0,639003651,22664582198,1090827002.3478,0,1,BitcoinHeist
1Ai8sfxU2E99WiCdwHodRXBjA8rvtiBfLF,2,199950000,199950000,0,0,1,0,989999999,19991743512,1000290212.52,0,1,BitcoinHeist
1AikL681NMzafC8TSRxHgkPcpzHrwTVtuq,2,100000000,100000000,0,0,0,0,21092478940,172580846,951891797.1304,0,1,BitcoinHeist
1AirZQoToa7Y1QjFC8rBVRJGCpaqu6gjiU,2,313000000,313000000,0,0,1,0,697989473,49277773542,2318156204.52,0,1,BitcoinHeist
1AiWA6LMLxDcvbFayz9r8umwgGrH9Tv9zM,2,100000000,100000000,0,0,1,0,41240000,58796300,96484438.8,0,1,BitcoinHeist
1AiwWRruAVp3HemMur9qrW5A3Q7eP6kbQa,2,30000000,30000000,0,19,1,19,57058000,1436801355,86642492.25,0,1,BitcoinHeist
1AiYyxTHUSyfaPuVAmP1c3rbe56CMmvGJB,13,1874000000,1874000000,0,50,22,2.2727,1538599128,49277912214,720935005.7515,0,1,BitcoinHeist
1AJ2V8csnrcRwkRxYaaT9VB9BQf1EYmbpj,2,30000000,30000000,0,19,3,6.3333,99987768,665662100,56865276.4444,0,1,BitcoinHeist
1AjEfggHtpgeSf6yCvLmz2Tgt5MdCoxcXS,139,119941511,119941511,0,46,48,0.9583,71334705,70377705,4931559.3209,0,1,BitcoinHeist
1AjgfnMUTnKX9wQFQ38oLp2fH3oqj4c6mk,2,80000000,80000000,0,0,1,0,79900000,78991644,26848481.1667,0,1,BitcoinHeist
1AJgnNocBFXoQ5V6Ecp7EgNsxeB71SE3e3,890,2338452188,2338452188,0,144,404,0.3564,3404566650,2572910693,92310300.5466,0,1,BitcoinHeist
1AJPjK5my4gQku2bR51mrhGgYKry8iMyC4,13,554470000,554470000,0,0,1,0,29999988718,85837396406,1973451036.5734,0,1,BitcoinHeist
1AK1Sjpywy6JNQCueUmugQ6ySjV8bnDqbr,2,100000000,100000000,0,0,1,0,7899112374,7799082700,3239634612.4,0,1,BitcoinHeist
1AKbjbDBpybrUbvdntrVwaJfXQjkseW6XK,2,75000000,75000000,0,0,1,0,39959560,56849338,56058973.8333,0,1,BitcoinHeist
1AkJptnuoiQAD3GmHMFHBSMxZ9H2GKJTkB,55,3466217010,3466217010,0,39,65,0.6,14718888367,14553704391,270578721.0622,0,1,BitcoinHeist
1AKjYMxo2hJCzkhunTuT986aTLHP2PSEfK,26,4119760669,4119760669,0,77,48,1.6042,369999993744,309448603325,4253168790.9247,0,1,BitcoinHeist
1AKkcpDwkA7sCwcV9M5oaPjJPEQ9U8nbaf,2,75000000,75000000,0,0,1,0,21495432,39157032,61953987.1667,0,1,BitcoinHeist
1AkNkGDVk4N9cvrQrUXzZGVeX3fi1GDAnn,4,403000000,403000000,0,7,2,3.5,763624315,909942551,222399724.3,0,1,BitcoinHeist
1AkPBSWP78Y2iduu9j6TJmwqLWhR2sQCHD,6,627429694,627429694,0,0,5,0,64361486696,64016875802,2934750602.9481,0,1,BitcoinHeist
1AkQb6pEm8kets46DZee7TAHjHBdxXVEcU,2,100000000,100000000,0,0,1,0,16284587176,16184589606,6593818184.4,0,1,BitcoinHeist
1AKRYS89hG4wR2jKchAGWPDromwiDWvXS7,4,52580000,52580000,0,0,2,0,75206873,52564000,25774818.8,0,1,BitcoinHeist
1AL8Kbb9Cjx51EZv7yKLjNeCdMC1YSN6Gd,2,56000000,56000000,0,0,19,0,6494311761,9863289326,987474437.84,0,1,BitcoinHeist
1AL94bvn6rvPw8ccFcF3tbUyr9DZrmUbf3,2,100000000,100000000,0,0,1,0,5399971793,5299950460,2239976711.8,0,1,BitcoinHeist
1ALe1CbqGWMPVLGUpgKGZbwcjxrxzwFP3e,2,80000000,80000000,0,0,1,0,58395580,21634824,87349757.4,0,1,BitcoinHeist
1ALK1tKbmj7Ud3iaAnDzUuaKb1zLg1E7eP,2,37127461109,37127461109,0,0,6,0,38599369380,59998999731,4670721704,0,1,BitcoinHeist
1ALnCFg1P77nRSsgvVxkk26nTqyU4EnPJ6,6,161150000,161150000,0,0,3,0,1229885376,43935962751,1528506213.2267,0,1,BitcoinHeist
